Hour	Minute	Time	Presenter	Title
0	0	11:00	Kory Evans-Jackson	Why the Long Face? Sexual Dimorphism in Neotropical Electric Fishes (Gymnotiformes:Teleostei)
0	5	11:05	Kassandra Ford	Quantitative analysis of shape and pigment in the Amazonian electric fish Steatogenys elegans
0	10	11:10	Michael G. Harvey	Evaluating approximate tests of trait-dependent diversification for quantitative characters
0	15	11:15	Gustavo Bravo	Convergent evolution of antbird plumage in dry habitats
0	20	11:20	Laura Lagomarsino	The repeated evolution of bat and hummingbird pollination in Neotropical bellflowers
0	25	11:25	William Freyman	Phylogenetic models of chromosome number evolution and chromosomal speciation
0	30	11:30	Laurel Yohe	Form follows function in the evolution of bat vomerolfaction
0	35	11:35	Clare Brown	Correlates and evolution of seasonal migration in swallows (Hirundinidae)
0	40	11:40	Glenn Seeholzer	A dramatic phenotypic cline in an Andean songbird: implications for local adaptation and speciation
0	45	11:45	Daniel Caetano	ratematrix: a R package to study patterns of evolutionary integration using phylogenetic trees
0	50	11:50	Alexander (Sasha) Mikheyev	Interactive web-based visualization of phylogenetic trees using Phylogeny.IO
0	55	11:55	Dean Adams	How NOT to perform multivariate phylogenetic comparative analyses
